code,date,close,sma20,sma50,sma200,high52,dist_high52_pct,ret5_pct,ret1_pct,v20_usd,pullback_uptrend,above_sma200,near_high52
AAA,2026-09-24,25.05,24.9603,24.8899,24.5673,25.1,-0.2,0.3,0.18,398333.0,1,1,1
AAAA,2026-09-25,30.895,30.6621,30.5371,28.9518,31.053,-0.51,1.14,0.43,131212.0,1,1,1
AAAC,2026-09-24,20.12,20.087,20.0238,,20.12,0.0,0.07,0.0,2713.0,0,0,1
AAAD,2026-09-24,48.37,49.0333,49.2221,,,,-1.1,-0.39,8810.0,0,0,0
AAAP,2026-09-24,25.48,25.4068,25.2947,,,,0.16,0.08,375395.0,0,0,0
AAAU,2026-09-24,42.15,43.0865,42.4422,44.7227,53.21,-20.79,-1.56,-0.19,73682776.0,0,0,0
AADR,2026-09-24,82.44,83.7372,83.3469,85.3269,96.1107,-14.22,-1.98,-0.45,135836.0,0,0,0
AAEQ,2026-09-24,55.12,54.7395,54.3514,,55.527,-0.73,1.01,-0.0,129847.0,0,0,1
AALG,2026-09-24,10.437,10.1673,12.1435,13.1426,20.744,-49.69,6.06,0.49,599177.0,0,0,0
AAOG,2026-09-24,2.13,2.3155,3.0298,,,,4.41,0.0,5959560.0,0,0,0
AAOX,2026-09-24,9.56,10.4015,13.5962,,95.29,-89.97,4.14,0.0,75649499.0,0,0,0
AAPB,2026-09-24,44.306,42.3884,41.0817,34.3965,46.28,-4.27,-0.61,-0.5,1427153.0,0,1,1
AAPD,2026-09-24,10.201,10.4425,10.6555,12.0983,14.0221,-27.25,0.49,0.26,116466394.0,0,0,0
AAPR,2026-09-24,29.765,29.7517,29.6893,29.1229,29.835,-0.23,0.12,0.03,196784.0,1,1,1
AAPU,2026-09-24,45.07,43.2269,41.9849,35.2681,47.5147,-5.15,-0.93,-0.71,69806704.0,0,1,0
AAPW,2026-09-24,41.452,40.2729,39.4275,34.8594,42.2574,-1.91,-0.36,-0.18,549873.0,1,1,1
AAPX,2026-09-24,40.8,39.1272,38.0183,32.2157,42.91,-4.92,-0.92,-0.46,3832260.0,0,1,1
AAPY,2026-09-24,27.901,27.1564,26.5439,23.7764,28.26,-1.27,-0.35,-0.26,192486.0,1,1,1
AAUA,2026-09-25,59.3467,58.6408,58.2397,,59.48,-0.22,1.45,0.52,84643.0,0,0,1
AAUS,2026-09-25,62.2504,61.5156,61.0923,57.6627,62.385,-0.22,1.39,0.54,130039.0,1,1,1
AAVM,2026-09-25,33.7747,34.1389,34.1253,32.9244,34.936,-3.32,-0.47,0.48,47232.0,1,1,1
AAXJ,2026-09-24,117.22,117.1475,114.6244,107.4473,124.21,-5.63,1.04,-0.54,53103576.0,1,1,0
ABCS,2026-09-25,34.0132,34.9858,35.4035,32.4445,36.548,-6.94,-1.13,0.67,79892.0,0,1,0
ABEQ,2026-09-24,38.014,38.6912,38.5847,37.6477,39.8185,-4.53,-1.47,-0.25,366089.0,1,1,1
ABFL,2026-09-24,80.69,81.1716,82.1951,77.5906,85.86,-6.02,0.11,-0.25,901293.0,1,1,0
ABI,2026-09-24,24.535,24.5867,24.6026,24.2642,24.6936,-0.64,-0.2,0.04,23638202.0,1,1,1
ABIG,2026-09-24,35.182,35.062,35.0949,32.9405,36.417,-3.39,0.61,0.03,204552.0,1,1,1
ABLD,2026-09-24,31.394,32.3929,31.9719,31.14,33.4499,-6.15,-2.6,-1.17,381975.0,0,1,0
