Panel crypto: 122,370 saham-hari · 91 ticker

=== CRYPTO · 91 ticker · 122,370 baris · 2021-09-25 -> 2026-09-25 · biaya 0.5% · return dipotong di +/-100% · pembanding rata-rata lintas-aset pada tanggal yang sama
aturan                                 n       a5     t5      a20    m20    t20    net20         paruh20  putusan
mom5d>=10% + tembus high20         2,897    +1.50   +5.0    +5.52  +7.52   +8.6    +6.41     +1.46/+9.58  SEPAKAT
tembus high50                      2,777    +1.24   +3.6    +4.45  +6.41   +8.6    +5.96     -0.46/+9.36  SEPAKAT
tren naik + tembus high20          2,927    +1.15   +6.1    +4.23  +6.24   +8.1    +4.99     -0.29/+8.75  SEPAKAT
puncak 52m baru                    1,874    +1.46   +3.1    +3.93  +6.41   +6.6    +5.77     -0.08/+7.94  SEPAKAT
tembus high20                      4,778    +1.07   +3.6    +3.67  +5.41   +7.6    +5.07     +0.36/+6.98  SEPAKAT
mom5d>=10%                        10,615    +0.88   +7.6    +2.72  +3.09   +5.3    +1.92     +1.42/+4.01  SEPAKAT
volume 2x MA20                     4,500    +0.61   +2.0    +1.81  +3.91   +5.4    +5.24     +2.33/+1.30  SEPAKAT
mom1d>=5%                          8,448    +0.57   +2.4    +1.80  +2.78   +4.0    +1.36     +1.14/+2.45  SEPAKAT
golden cross 50/200                  252    +0.50   +0.5    +1.23  +5.18   +0.9    +5.14     +0.86/+1.60  TIPIS
mom1d>=3%                         15,556    +0.25   +1.4    +1.12  +1.64   +2.8    +0.58     +0.38/+1.86  SEPAKAT
dekat puncak 52m                   8,338    +0.24   +4.9    +0.75  +2.05   +5.8    +2.98     -0.33/+1.83  SEPAKAT
di atas SMA20                     40,777    +0.19   +4.2    +0.62  +0.76   +3.9    +1.46     -0.01/+1.26  SEPAKAT
di atas SMA200                    33,132    +0.15   +7.6    +0.60  +1.11   +8.4    +1.09     +1.07/+0.14  SEPAKAT
pullback di uptrend               11,311    -0.10   -1.5    +0.59  +2.36   +3.9    -0.13     +1.52/-0.34  SEPAKAT
tren naik (SMA20>50)              22,613    +0.41   +4.4    +0.58  +1.14   +5.7    +1.76     -0.79/+1.96  SEPAKAT
di atas SMA50                     38,370    +0.15   +3.2    +0.45  +0.78   +4.7    +0.93     +0.21/+0.69  SEPAKAT
RSI pulih >30                      1,120    -0.18   -1.2    -0.05  +1.49   -0.1    +0.16     -0.52/+0.42  RAPUH
turun 5d>=10% di atas SMA200       2,351    +0.13   +0.3    -0.22  +1.52   -0.3    -2.54     +1.55/-1.99  RAPUH
dasar 52m baru (kontrol)           2,507    -0.70   -9.7    -1.22  +0.51   -3.1    +2.25     -2.37/-0.06  RAPUH
RSI<30 (jenuh jual)                3,490    -0.88   -5.1    -1.74  +0.33   -4.5    +1.47     -3.94/+0.46  RAPUH
