Panel etf: 4,122,434 saham-hari · 5333 ticker
  ... 500/5333 ticker
  ... 1000/5333 ticker
  ... 1500/5333 ticker
  ... 2000/5333 ticker
  ... 2500/5333 ticker
  ... 3000/5333 ticker
  ... 3500/5333 ticker
  ... 4000/5333 ticker
  ... 4500/5333 ticker
  ... 5000/5333 ticker

=== ETF · 5333 ticker · 4,122,434 baris · 2021-09-27 -> 2026-09-25 · biaya 0.3% · return dipotong di +/-100% · pembanding SPY (pasar)
aturan                                 n       a5     t5      a20    m20    t20    net20         paruh20  putusan
volume 2x MA20                   132,445    -0.10   -6.6    -0.52  -0.05  -14.9    +0.52     -0.45/-0.59  RAPUH
mom5d>=10% + tembus high20        13,198    -0.24   -2.1    -0.74  -0.62   -1.5    +0.43     -0.92/-0.57  RAPUH
di atas SMA20                   1,164,117    -0.25   -8.0    -0.77  -0.26  -22.3    +0.16     -0.61/-0.94  RAPUH
di atas SMA200                  1,221,088    -0.23  -16.4    -0.82  -0.31  -20.9    +0.48     -1.13/-0.52  RAPUH
tembus high50                    151,350    -0.29  -16.3    -0.83  -0.38   -7.2    +0.30     -0.72/-0.94  RAPUH
tembus high20                    208,686    -0.35   -5.2    -0.85  -0.24   -8.5    +0.29     -0.53/-1.17  RAPUH
golden cross 50/200                4,073    -0.29   -3.2    -0.88  -0.33   -3.0    +0.45     -1.52/-0.23  RAPUH
dekat puncak 52m                1,005,155    -0.24  -35.7    -0.88  -0.34  -47.2    +0.33     -1.14/-0.62  RAPUH
tren naik + tembus high20        155,915    -0.29   -8.2    -0.89  -0.40   -9.7    +0.16     -0.84/-0.94  RAPUH
di atas SMA50                   1,186,689    -0.22  -15.2    -0.90  -0.36  -20.4    +0.15     -0.92/-0.88  RAPUH
pullback di uptrend              772,520    -0.25  -11.5    -0.99  -0.45  -24.7    +0.36     -1.27/-0.71  RAPUH
puncak 52m baru                  198,872    -0.30   -8.6    -1.02  -0.56  -18.5    +0.27     -1.21/-0.84  RAPUH
tren naik (SMA20>50)             808,180    -0.21  -15.0    -1.07  -0.51  -22.3    +0.10     -1.22/-0.93  RAPUH
RSI pulih >30                     20,419    -0.26   -1.1    -1.54  -1.10   -4.8    +0.89     -0.54/-2.54  RAPUH
turun 5d>=10% di atas SMA200       7,019    -0.04   -0.4    -1.74  -1.45   -3.2    +1.03     -2.61/-0.88  RAPUH
mom1d>=3%                         79,910    -0.54   -3.7    -1.74  -2.31   -5.6    -0.58     -0.77/-2.71  RAPUH
mom5d>=10%                        42,835    -0.61   -4.6    -1.93  -2.64   -5.8    -1.01     -0.77/-3.09  RAPUH
RSI<30 (jenuh jual)               56,175    -0.42   -5.7    -1.95  -1.47   -9.4    +1.25     -1.09/-2.81  RAPUH
mom1d>=5%                         37,600    -0.80  -19.5    -2.12  -3.15   -4.4    -1.24     -1.10/-3.14  RAPUH
dasar 52m baru (kontrol)          32,033    -0.49   -7.8    -2.37  -1.95   -8.1    +1.18     -1.91/-2.83  RAPUH
