Panel us: 6,325,620 saham-hari · 5801 ticker
  ... 500/5801 ticker
  ... 1000/5801 ticker
  ... 1500/5801 ticker
  ... 2000/5801 ticker
  ... 2500/5801 ticker
  ... 3000/5801 ticker
  ... 3500/5801 ticker
  ... 4000/5801 ticker
  ... 4500/5801 ticker
  ... 5000/5801 ticker
  ... 5500/5801 ticker

=== US · 5801 ticker · 6,325,620 baris · 2021-09-27 -> 2026-09-25 · biaya 0.3% · return dipotong di +/-100% · pembanding rata-rata lintas-aset pada tanggal yang sama
aturan                                 n       a5     t5      a20    m20    t20    net20         paruh20  putusan
pullback di uptrend              836,533    +0.09  +21.4    +0.54  +0.64  +30.2    +0.42     +0.47/+0.61  SEPAKAT
di atas SMA200                  1,918,759    +0.06  +16.7    +0.47  +0.54  +30.8    +0.28     +0.32/+0.62  SEPAKAT
dekat puncak 52m                 742,415    -0.01   -0.8    +0.20  +0.44   +6.4    +0.04     +0.08/+0.32  SEPAKAT
di atas SMA20                   2,101,157    -0.04   -1.2    +0.15  +0.37   +2.8    -0.42     +0.21/+0.09  SEPAKAT
di atas SMA50                   2,064,217    -0.01   -1.4    +0.13  +0.31   +7.8    -0.30     +0.10/+0.16  SEPAKAT
tren naik (SMA20>50)            1,272,354    -0.02   -0.6    -0.00  +0.20   -0.0    -0.40     -0.06/+0.06  RAPUH
golden cross 50/200               11,795    -0.13   -1.8    -0.08  -0.06   -0.3    -0.26     -0.46/+0.30  RAPUH
tren naik + tembus high20        173,399    -0.27   -5.8    -0.36  +0.04   -4.1    -0.49     -0.49/-0.23  RAPUH
tembus high20                    264,644    -0.39   -8.9    -0.42  +0.03   -5.0    -0.54     -0.22/-0.61  RAPUH
puncak 52m baru                  161,342    -0.26  -13.2    -0.42  +0.14   -4.1    -0.21     -0.80/-0.05  RAPUH
tembus high50                    164,345    -0.36   -7.6    -0.53  -0.05   -6.1    -0.56     -0.59/-0.47  RAPUH
turun 5d>=10% di atas SMA200      60,865    -0.48  -12.7    -1.16  -2.25   -6.8    -0.51     -1.65/-0.66  RAPUH
RSI pulih >30                     54,721    -0.68   -8.1    -1.60  -1.14   -6.9    -0.26     -1.26/-1.95  RAPUH
mom1d>=3%                        479,116    -0.63  -96.8    -1.66  -1.98  -18.3    -1.32     -1.65/-1.67  RAPUH
volume 2x MA20                   202,612    -0.77  -29.8    -1.71  -0.80  -24.0    -1.26     -1.21/-2.21  RAPUH
mom5d>=10% + tembus high20        83,381    -1.05  -18.0    -1.90  -1.82  -12.0    -1.65     -1.97/-1.83  RAPUH
RSI<30 (jenuh jual)              203,265    -0.54  -19.6    -1.96  -1.28  -16.8    -0.45     -1.22/-2.71  RAPUH
mom5d>=10%                       291,078    -0.95  -23.3    -2.52  -3.05  -28.5    -2.34     -2.51/-2.54  RAPUH
dasar 52m baru (kontrol)         114,392    -1.04  -21.4    -3.00  -2.17  -20.6    -0.53     -2.07/-3.93  RAPUH
mom1d>=5%                        222,231    -1.11  -29.9    -3.11  -3.90  -25.0    -2.37     -2.96/-3.26  RAPUH
